10/05/2019 11:48:26.543603 ./fileserver.exe:     Creating C150NastyDgmSocket(nastiness=0)
10/05/2019 11:48:26.605996 ./fileserver.exe:     Ready to accept messages
10/05/2019 11:48:30.022708 ./fileserver.exe:     C150DgmSocket::read: successful read with len=1 |.|
10/05/2019 11:48:30.022962 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 1 |.|
10/05/2019 11:48:30.023148 ./fileserver.exe:     Successfully read 1 bytes. Message=""
10/05/2019 11:48:30.023482 ./fileserver.exe:     Responding with message="You said . Don't you know how to play ping pong?"
10/05/2019 11:48:30.023666 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=49 |You said . Don't you know how to play ping pong?.|
10/05/2019 11:48:30.024021 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=49 |You said . Don't you know how to play ping pong?.|
10/05/2019 11:49:24.396736 ./fileserver.exe:     C150DgmSocket::read: successful read with len=1 |.|
10/05/2019 11:49:24.396909 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 1 |.|
10/05/2019 11:49:24.397065 ./fileserver.exe:     Successfully read 1 bytes. Message=""
10/05/2019 11:49:24.397267 ./fileserver.exe:     Responding with message="You said . Don't you know how to play ping pong?"
10/05/2019 11:49:24.397506 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=49 |You said . Don't you know how to play ping pong?.|
10/05/2019 11:49:24.397838 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=49 |You said . Don't you know how to play ping pong?.|
10/05/2019 11:50:30.451030 ./fileserver.exe:     C150DgmSocket::read: successful read with len=1 |.|
10/05/2019 11:50:30.451206 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 1 |.|
10/05/2019 11:50:30.451362 ./fileserver.exe:     Successfully read 1 bytes. Message=""
10/05/2019 11:50:30.452247 ./fileserver.exe:     Responding with message="You said . Don't you know how to play ping pong?"
10/05/2019 11:50:30.452470 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=49 |You said . Don't you know how to play ping pong?.|
10/05/2019 11:50:30.452757 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=49 |You said . Don't you know how to play ping pong?.|
10/05/2019 11:53:17.025670 ./fileserver.exe:     C150DgmSocket::read: successful read with len=1 |.|
10/05/2019 11:53:17.025848 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 1 |.|
10/05/2019 11:53:17.026007 ./fileserver.exe:     Successfully read 1 bytes. Message=""
10/05/2019 11:53:17.026750 ./fileserver.exe:     Responding with message="You said . Don't you know how to play ping pong?"
10/05/2019 11:53:17.026964 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=49 |You said . Don't you know how to play ping pong?.|
10/05/2019 11:53:17.028150 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=49 |You said . Don't you know how to play ping pong?.|
10/05/2019 11:56:04.076276 ./fileserver.exe:     C150DgmSocket::read: successful read with len=1 |.|
10/05/2019 11:56:04.076482 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 1 |.|
10/05/2019 11:56:04.076643 ./fileserver.exe:     Successfully read 1 bytes. Message=""
10/05/2019 11:56:04.076856 ./fileserver.exe:     Responding with message="You said . Don't you know how to play ping pong?"
10/05/2019 11:56:04.077066 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=49 |You said . Don't you know how to play ping pong?.|
10/05/2019 11:56:04.077342 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=49 |You said . Don't you know how to play ping pong?.|
10/05/2019 11:56:18.193636 ./fileserver.exe:     C150DgmSocket::read: successful read with len=1 |.|
10/05/2019 11:56:18.193798 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 1 |.|
10/05/2019 11:56:18.193983 ./fileserver.exe:     Successfully read 1 bytes. Message=""
10/05/2019 11:56:18.194213 ./fileserver.exe:     Responding with message="You said . Don't you know how to play ping pong?"
10/05/2019 11:56:18.194434 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=49 |You said . Don't you know how to play ping pong?.|
10/05/2019 11:56:18.194728 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=49 |You said . Don't you know how to play ping pong?.|
10/05/2019 11:59:19.684799 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |.>3L..d<.......c..)..|
10/05/2019 11:59:19.685016 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |.>3L..d<.......c..)..|
10/05/2019 11:59:19.685245 ./fileserver.exe:     Successfully read 21 bytes. Message=".>3L..d<.......c..)."
10/05/2019 11:59:19.686443 ./fileserver.exe:     Responding with message="You said .>3L..d<.......c..).. Don't you know how to play ping pong?"
10/05/2019 11:59:19.686691 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said .>3L..d<.......c..).. Don't you know how to play ping pong?.|
10/05/2019 11:59:19.687044 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said .>3L..d<.......c..).. Don't you know how to play ping pong?.|
10/05/2019 12:00:04.439699 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |.>3L..d<.......c..)..|
10/05/2019 12:00:04.439786 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |.>3L..d<.......c..)..|
10/05/2019 12:00:04.439865 ./fileserver.exe:     Successfully read 21 bytes. Message=".>3L..d<.......c..)."
10/05/2019 12:00:04.440236 ./fileserver.exe:     Responding with message="You said .>3L..d<.......c..).. Don't you know how to play ping pong?"
10/05/2019 12:00:04.440337 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said .>3L..d<.......c..).. Don't you know how to play ping pong?.|
10/05/2019 12:00:04.440972 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said .>3L..d<.......c..).. Don't you know how to play ping pong?.|
10/05/2019 12:03:09.908299 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |.>3L..d<.......c..)..|
10/05/2019 12:03:09.908506 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |.>3L..d<.......c..)..|
10/05/2019 12:03:09.908666 ./fileserver.exe:     Successfully read 21 bytes. Message=".>3L..d<.......c..)."
10/05/2019 12:03:09.910180 ./fileserver.exe:     Responding with message="You said .>3L..d<.......c..).. Don't you know how to play ping pong?"
10/05/2019 12:03:09.910436 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said .>3L..d<.......c..).. Don't you know how to play ping pong?.|
10/05/2019 12:03:09.911556 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said .>3L..d<.......c..).. Don't you know how to play ping pong?.|
10/05/2019 12:03:15.696411 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |.>3L..d<.......c..)..|
10/05/2019 12:03:15.696587 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |.>3L..d<.......c..)..|
10/05/2019 12:03:15.696766 ./fileserver.exe:     Successfully read 21 bytes. Message=".>3L..d<.......c..)."
10/05/2019 12:03:15.696997 ./fileserver.exe:     Responding with message="You said .>3L..d<.......c..).. Don't you know how to play ping pong?"
10/05/2019 12:03:15.697179 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said .>3L..d<.......c..).. Don't you know how to play ping pong?.|
10/05/2019 12:03:15.697554 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said .>3L..d<.......c..).. Don't you know how to play ping pong?.|
10/05/2019 12:03:27.861637 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |.>3L..d<.......c..)..|
10/05/2019 12:03:27.861825 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |.>3L..d<.......c..)..|
10/05/2019 12:03:27.861987 ./fileserver.exe:     Successfully read 21 bytes. Message=".>3L..d<.......c..)."
10/05/2019 12:03:27.862217 ./fileserver.exe:     Responding with message="You said .>3L..d<.......c..).. Don't you know how to play ping pong?"
10/05/2019 12:03:27.862442 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said .>3L..d<.......c..).. Don't you know how to play ping pong?.|
10/05/2019 12:03:27.862800 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said .>3L..d<.......c..).. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.506139 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |.>3L..d<.......c..)..|
10/05/2019 12:04:46.506295 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |.>3L..d<.......c..)..|
10/05/2019 12:04:46.506495 ./fileserver.exe:     Successfully read 21 bytes. Message=".>3L..d<.......c..)."
10/05/2019 12:04:46.506708 ./fileserver.exe:     Responding with message="You said .>3L..d<.......c..).. Don't you know how to play ping pong?"
10/05/2019 12:04:46.506884 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said .>3L..d<.......c..).. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.508008 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said .>3L..d<.......c..).. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.509992 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |i/!5z........yA....2.|
10/05/2019 12:04:46.510131 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |i/!5z........yA....2.|
10/05/2019 12:04:46.510363 ./fileserver.exe:     Successfully read 21 bytes. Message="i/!5z........yA....2"
10/05/2019 12:04:46.510574 ./fileserver.exe:     Responding with message="You said i/!5z........yA....2. Don't you know how to play ping pong?"
10/05/2019 12:04:46.510719 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said i/!5z........yA....2. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.510916 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said i/!5z........yA....2. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.512596 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |..8k\....n......`5m..|
10/05/2019 12:04:46.512734 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |..8k\....n......`5m..|
10/05/2019 12:04:46.512886 ./fileserver.exe:     Successfully read 21 bytes. Message="..8k\....n......`5m."
10/05/2019 12:04:46.513053 ./fileserver.exe:     Responding with message="You said ..8k\....n......`5m.. Don't you know how to play ping pong?"
10/05/2019 12:04:46.513196 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said ..8k\....n......`5m.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.513434 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said ..8k\....n......`5m.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.515369 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |.KDnT...=m'M..0....x.|
10/05/2019 12:04:46.515533 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |.KDnT...=m'M..0....x.|
10/05/2019 12:04:46.515668 ./fileserver.exe:     Successfully read 21 bytes. Message=".KDnT...=m'M..0....x"
10/05/2019 12:04:46.515831 ./fileserver.exe:     Responding with message="You said .KDnT...=m'M..0....x. Don't you know how to play ping pong?"
10/05/2019 12:04:46.515976 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said .KDnT...=m'M..0....x. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.516167 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said .KDnT...=m'M..0....x. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.518213 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |...|...s6Y4g.!..B..$.|
10/05/2019 12:04:46.518352 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |...|...s6Y4g.!..B..$.|
10/05/2019 12:04:46.518517 ./fileserver.exe:     Successfully read 21 bytes. Message="...|...s6Y4g.!..B..$"
10/05/2019 12:04:46.518683 ./fileserver.exe:     Responding with message="You said ...|...s6Y4g.!..B..$. Don't you know how to play ping pong?"
10/05/2019 12:04:46.518828 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said ...|...s6Y4g.!..B..$. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.519021 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said ...|...s6Y4g.!..B..$. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.520992 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |.........8....p......|
10/05/2019 12:04:46.521129 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |.........8....p......|
10/05/2019 12:04:46.521263 ./fileserver.exe:     Successfully read 21 bytes. Message=".........8....p....."
10/05/2019 12:04:46.521463 ./fileserver.exe:     Responding with message="You said .........8....p...... Don't you know how to play ping pong?"
10/05/2019 12:04:46.521616 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said .........8....p...... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.521803 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said .........8....p...... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.523805 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |..V..:..........m.g..|
10/05/2019 12:04:46.523954 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |..V..:..........m.g..|
10/05/2019 12:04:46.524089 ./fileserver.exe:     Successfully read 21 bytes. Message="..V..:..........m.g."
10/05/2019 12:04:46.524254 ./fileserver.exe:     Responding with message="You said ..V..:..........m.g.. Don't you know how to play ping pong?"
10/05/2019 12:04:46.524421 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said ..V..:..........m.g.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.524635 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said ..V..:..........m.g.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.526548 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |.@*;..m'+..Pe..d.....|
10/05/2019 12:04:46.526685 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |.@*;..m'+..Pe..d.....|
10/05/2019 12:04:46.526820 ./fileserver.exe:     Successfully read 21 bytes. Message=".@*;..m'+..Pe..d...."
10/05/2019 12:04:46.527053 ./fileserver.exe:     Responding with message="You said .@*;..m'+..Pe..d..... Don't you know how to play ping pong?"
10/05/2019 12:04:46.527209 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said .@*;..m'+..Pe..d..... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.527433 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said .@*;..m'+..Pe..d..... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.529436 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |./.4..v..._..1....^..|
10/05/2019 12:04:46.529579 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |./.4..v..._..1....^..|
10/05/2019 12:04:46.529732 ./fileserver.exe:     Successfully read 21 bytes. Message="./.4..v..._..1....^."
10/05/2019 12:04:46.529901 ./fileserver.exe:     Responding with message="You said ./.4..v..._..1....^.. Don't you know how to play ping pong?"
10/05/2019 12:04:46.530046 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said ./.4..v..._..1....^.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.530249 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said ./.4..v..._..1....^.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.531732 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |2ax.a.).....^.j...v..|
10/05/2019 12:04:46.531870 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |2ax.a.).....^.j...v..|
10/05/2019 12:04:46.532005 ./fileserver.exe:     Successfully read 21 bytes. Message="2ax.a.).....^.j...v."
10/05/2019 12:04:46.532227 ./fileserver.exe:     Responding with message="You said 2ax.a.).....^.j...v.. Don't you know how to play ping pong?"
10/05/2019 12:04:46.532522 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said 2ax.a.).....^.j...v.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.532853 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said 2ax.a.).....^.j...v.. Don't you know how to play ping pong?.|
10/05/2019 12:04:46.534872 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |..6.4......?.........|
10/05/2019 12:04:46.535011 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |..6.4......?.........|
10/05/2019 12:04:46.535146 ./fileserver.exe:     Successfully read 21 bytes. Message="..6.4......?........"
10/05/2019 12:04:46.535309 ./fileserver.exe:     Responding with message="You said ..6.4......?......... Don't you know how to play ping pong?"
10/05/2019 12:04:46.535480 ./fileserver.exe:     C150DgmSocket::write: attempting to send packet with len=69 |You said ..6.4......?......... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.535672 ./fileserver.exe:     C150DgmSocket::write: Success writing packet with len=69 |You said ..6.4......?......... Don't you know how to play ping pong?.|
10/05/2019 12:04:46.537557 ./fileserver.exe:     C150DgmSocket::read: successful read with len=21 |.f.(o:!...~.W{#I.%a'.|
10/05/2019 12:04:46.537695 ./fileserver.exe:     C150NastyDgmSocket::read: delivering packet of length 21 |.f.(o:!...~.W{#I.%a'.|
10/05/2019 12:04:46.537830 ./fileserver.exe:     Successfully read 21 bytes. Message=".f.(o:!...~.W{#I.%a'"
10/05/2019 12:04:46.537993 ./fileserver.exe:     Responding with message="You said .f.(o:!...~.W{#I.%a'. Don't you know how to play ping pong?"
